study_ID,Title,Author,Publication Title,Abstract Note,Publication Year,DOI
MAITLAND_2020_FRE,Freshwater diatom biomonitoring through benthic kick-net metabarcoding,"Maitland, Victoria Carley; Robinson, Chloe Victoria; Porter, Teresita M.; Hajibabaei, Mehrdad",PLOS ONE,"Biomonitoring is an essential tool for assessing ecological conditions and informing management strategies. The application of DNA metabarcoding and high throughput sequencing has improved data quantity and resolution for biomonitoring of taxa such as macroinvertebrates, yet, there remains the need to optimise these methods for other taxonomic groups. Diatoms have a longstanding history in freshwater biomonitoring as bioindicators of water quality status. However, multi-substrate periphyton collection, a common diatom sampling practice, is time-consuming and thus costly in terms of labour. This study examined whether the benthic kick-net technique used for macroinvertebrate biomonitoring could be applied to bulk-sample diatoms for metabarcoding. To test this approach, we collected samples using both conventional multi-substrate microhabitat periphyton collections and bulk-tissue kick-net methodologies in parallel from replicated sites with different habitat status (good/fair). We found there was no significant difference in community assemblages between conventional periphyton collection and kick-net methodologies or site status, but there was significant difference between diatom communities depending on site (P = 0.042). These results show the diatom taxonomic coverage achieved through DNA metabarcoding of kick-net is suitable for ecological biomonitoring applications. The shift to a more robust sampling approach and capturing diatoms as well as macroinvertebrates in a single sampling event has the potential to significantly improve efficiency of biomonitoring programmes that currently only use the kick-net technique to sample macroinvertebrates.",2020,10.1371/journal.pone.0242143
KELLY_2017_GEN,Genetic and Manual Survey Methods Yield Different and Complementary Views of an Ecosystem,"Kelly, Ryan P.; Closek, Collin J.; O'Donnell, James L.; Kralj, James E.; Shelton, Andrew O.; Samhouri, Jameal F.",FRONTIERS IN MARINE SCIENCE,"Given the rapid rise of environmental DNA (eDNA) surveys in ecology and environmental science, it is important to be able to compare the results of these surveys to traditional methods of measuring biodiversity. Here we compare samples from a traditional method (a manual tow-net) to companion eDNA samples sequenced at three different genetic loci. We find only partial taxonomic overlap among the resulting datasets, with each reflecting a portion of the larger suite of taxa present in the sampled nearshore marine environment. In the larger context of eDNA sequencing surveys, our results suggest that primer amplification bias drives much of the taxonomic bias in eDNA detection, and that the baseline probability of detecting any given taxon with a broad-spectrum primer set is likely to be low. Whether catching fish with different nets or using different PCR primer sets, multiple data types can provide complementary views of a common ecosystem. However, it remains difficult to cross-validate eDNA sequencing techniques in the field, either for presence/absence or for abundance, particularly for primer sets that target very wide taxonomic ranges. Finally, our results highlight the breadth of diversity in a single habitat, and although eDNA does capture a richer sample of the community than traditional methods of sampling, a large number of eDNA primer sets focusing on different subsets of the biota would be necessary to survey any ecological community in a reasonably comprehensive way.",2017,10.3389/fmars.2016.00283
HUANG_2020_GEN,Genetic and morphologic determination of diatom community composition in surface sediments from glacial and thermokarst lakes in the Siberian Arctic,"Huang, S.; Herzschuh, U.; Pestryakova, L. A.; Zimmermann, H. H.; Davydova, P.; Biskaborn, B. K.; Shevtsova, I; Stoof-Leichsenring, K. R.",JOURNAL OF PALEOLIMNOLOGY,"Lakes cover large parts of the climatically sensitive Arctic landscape and respond rapidly to environmental change. Arctic lakes have different origins and include the predominant thermokarst lakes, which are small, young and highly dynamic, as well as large, old and stable glacial lakes. Freshwater diatoms dominate the primary producer community in these lakes and can be used to detect biotic responses to climate and environmental change. We used specific diatom metabarcoding on sedimentary DNA, combined with next-generation sequencing and diatom morphology, to assess diatom diversity in five glacial and 15 thermokarst lakes within the easternmost expanse of the Siberian treeline ecotone in Chukotka, Russia. We obtained 163 verified diatom sequence types and identified 176 diatom species morphologically. Although there were large differences in taxonomic assignment using the two approaches, they showed similar high abundances and diversity of Fragilariceae and Aulacoseiraceae. In particular, the genetic approach detected hidden within-lake variations of fragilarioids in glacial lakes and dominance of centric Aulacoseira species, whereas Lindavia ocellata was predominant using morphology. In thermokarst lakes, sequence types and valve counts also detected high diversity of Fragilariaceae, which followed the vegetation gradient along the treeline. Ordination analyses of the genetic data from glacial and thermokarst lakes suggest that concentrations of sulfate (SO42-), an indicator of the activity of sulfate-reducing microbes under anoxic conditions, and bicarbonate (HCO3-), which relates to surrounding vegetation, have a significant influence on diatom community composition. For thermokarst lakes, we also identified lake depth as an important variable, but SO42- best explains diatom diversity derived from genetic data, whereas HCO3- best explains the data from valve counts. Higher diatom diversity was detected in glacial lakes, most likely related to greater lake age and different edaphic settings, which gave rise to diversification and endemism. In contrast, small, dynamic thermokarst lakes are inhabited by stress-tolerant fragilarioids and are related to different vegetation types along the treeline ecotone. Our study demonstrated that genetic investigations of lake sediments can be used to interpret climate and environmental responses of diatoms. It also showed how lake type affects diatom diversity, and that such genetic analyses can be used to track diatom community changes under ongoing warming in the Arctic.",2020,10.1007/s10933-020-00133-1
LI_2019_GRO,Ground-truthing of a fish-based environmental DNA metabarcoding method for assessing the quality of lakes,"Li, Jianlong; Hatton-Ellis, Tristan W.; Handley, Lori-Jayne Lawson; Kimbell, Helen S.; Benucci, Marco; Peirson, Graeme; Hanfling, Bernd",JOURNAL OF APPLIED ECOLOGY,"Accurate, cost-effective monitoring of fish is required to assess the quality of lakes under the European Water Framework Directive. Recent studies have shown that environmental DNA (eDNA) metabarcoding is an effective and non-invasive method, which can provide semi-quantitative information about fish communities in large lakes. This study further investigated the potential of fish-based eDNA metabarcoding as a tool for lake assessment by collecting and analysing water samples from eight Welsh lakes and six meres in Cheshire, England, with well-described fish faunas. Water samples (N=252) were assayed using two mitochondrial DNA regions (Cytb and 12S rRNA). eDNA sampling indicated the presence of very similar species in the lakes compared to those expected on the basis of existing and historical information. Firstly, 24 species were detected, with a total of 111 species occurrences in the lakes studied using eDNA. Secondly, there was a significant positive correlation between expected faunas and eDNA data in terms of confidence of species occurrence (Spearman's r=0.74, df=109, p<0.001). Thirdly, eDNA data can estimate relative abundance with the standard five-level classification scale (DAFOR'). Lastly, four ecological fish communities were characterized using eDNA data which agree with the predefined lake types according to environmental characteristics.Synthesis and applications. There are some limitations when using conventional captured-based methods for surveying species richness and relative abundance, such as morphological identification bias, difficulties in recording small-bodied, rare and/or elusive species and destructive impacts on the environment. This study provides further evidence that environmental DNA metabarcoding outperforms other captured-based survey techniques in a wide range of lake types for community-level analysis whether in species detection, relative abundance estimate using the standard five-level classification scale or characterization ecological fish communities. Therefore, the fish-based environmental DNA metabarcoding, a non-invasive genetic method, has great potential as an assessment tool for lake quality under the European Water Framework Directive. There are some limitations when using conventional captured-based methods for surveying species richness and relative abundance, such as morphological identification bias, difficulties in recording small-bodied, rare and/or elusive species and destructive impacts on the environment. This study provides further evidence that environmental DNA metabarcoding outperforms other captured-based survey techniques in a wide range of lake types for community-level analysis whether in species detection, relative abundance estimate using the standard five-level classification scale or characterization ecological fish communities. Therefore, the fish-based environmental DNA metabarcoding, a non-invasive genetic method, has great potential as an assessment tool for lake quality under the European Water Framework Directive.",2019,10.1111/1365-2664.13352
MCCLENAGHAN_2020_HAR,Harnessing the power of eDNA metabarcoding for the detection of deep-sea fishes,"McClenaghan, Beverly; Fahner, Nicole; Cote, David; Chawarski, Julek; McCarthy, Avery; Rajabi, Hoda; Singer, Greg; Hajibabaei, Mehrdad",PLOS ONE,"The deep ocean is the largest biome on Earth and faces increasing anthropogenic pressures from climate change and commercial fisheries. Our ability to sustainably manage this expansive habitat is impeded by our poor understanding of its inhabitants and by the difficulties in surveying and monitoring these areas. Environmental DNA (eDNA) metabarcoding has great potential to improve our understanding of this region and to facilitate monitoring across a broad range of taxa. Here, we evaluate two eDNA sampling protocols and seven primer sets for elucidating fish diversity from deep sea water samples. We found that deep sea water samples (> 1400 m depth) had significantly lower DNA concentrations than surface or mid-depth samples necessitating a refined protocol with a larger sampling volume. We recovered significantly more DNA in large volume water samples (1.5 L) filtered at sea compared to small volume samples (250 mL) held for lab filtration. Furthermore, the number of unique sequences (exact sequence variants; ESVs) recovered per sample was higher in large volume samples. Since the number of ESVs recovered from large volume samples was less variable and consistently high, we recommend the larger volumes when sampling water from the deep ocean. We also identified three primer sets which detected the most fish taxa but recommend using multiple markers due the variability in detection probabilities and taxonomic resolution among fishes for each primer set. Overall, fish diversity results obtained from metabarcoding were comparable to conventional survey methods. While eDNA sampling and processing need be optimized for this unique environment, the results of this study demonstrate that eDNA metabarcoding can facilitate biodiversity surveys in the deep ocean, require less dedicated survey effort per unit identification, and are capable of simultaneously providing valuable information on other taxonomic groups.",2020,10.1371/journal.pone.0236540
MARTINS_2019_HAV,Have the cake and eat it: Optimizing nondestructive DNA metabarcoding of macroinvertebrate samples for freshwater biomonitoring,"Martins, Filipa M. S.; Galhardo, Mafalda; Filipe, Ana F.; Teixeira, Amilcar; Pinheiro, Paulo; Pauperio, Joana; Alves, Paulo C.; Beja, Pedro",MOLECULAR ECOLOGY RESOURCES,"DNA metabarcoding can contribute to improving cost-effectiveness and accuracy of biological assessments of aquatic ecosystems, but significant optimization and standardization efforts are still required to mainstream its application into biomonitoring programmes. In assessments based on freshwater macroinvertebrates, a key challenge is that DNA is often extracted from cleaned, sorted and homogenized bulk samples, which is time-consuming and may be incompatible with sample preservation requirements of regulatory agencies. Here, we optimize and evaluate metabarcoding procedures based on DNA recovered from 96% ethanol used to preserve field samples and thus including potential PCR inhibitors and nontarget organisms. We sampled macroinvertebrates at five sites and subsampled the preservative ethanol at 1 to 14 days thereafter. DNA was extracted using column-based enzymatic (TISSUE) or mechanic (SOIL) protocols, or with a new magnetic-based enzymatic protocol (BEAD), and a 313-bp COI fragment was amplified. Metabarcoding detected at least 200 macroinvertebrate taxa, including most taxa detected through morphology and for which there was a reference barcode. Better results were obtained with BEAD than SOIL or TISSUE, and with subsamples taken 7-14 than 1-7 days after sampling, in terms of DNA concentration and integrity, taxa diversity and matching between metabarcoding and morphology. Most variation in community composition was explained by differences among sites, with small but significant contributions of subsampling day and extraction method, and negligible contributions of extraction and PCR replication. Our methods enhance reliability of preservative ethanol as a potential source of DNA for macroinvertebrate metabarcoding, with a strong potential application in freshwater biomonitoring.",2019,10.1111/1755-0998.13012
LEJZEROWICZ_2015_HIG,High-throughput sequencing and morphology perform equally well for benthic monitoring of marine ecosystems,"Lejzerowicz, Franck; Esling, Philippe; Pillet, Loic; Wilding, Thomas A.; Black, Kenneth D.; Pawlowski, Jan",SCIENTIFIC REPORTS,"Environmental diversity surveys are crucial for the bioassessment of anthropogenic impacts on marine ecosystems. Traditional benthic monitoring relying on morphotaxonomic inventories of macrofaunal communities is expensive, time-consuming and expertise-demanding. High-throughput sequencing of environmental DNA barcodes (metabarcoding) offers an alternative to describe biological communities. However, whether the metabarcoding approach meets the quality standards of benthic monitoring remains to be tested. Here, we compared morphological and eDNA/RNA-based inventories of metazoans from samples collected at 10 stations around a fish farm in Scotland, including near-cage and distant zones. For each of 5 replicate samples per station, we sequenced the V4 region of the 18S rRNA gene using the Illumina technology. After filtering, we obtained 841,766 metazoan sequences clustered in 163 Operational Taxonomic Units (OTUs). We assigned the OTUs by combining local BLAST searches with phylogenetic analyses. We calculated two commonly used indices: the Infaunal Trophic Index and the AZTI Marine Biotic Index. We found that the molecular data faithfully reflect the morphology-based indices and provides an equivalent assessment of the impact associated with fish farms activities. We advocate that future benthic monitoring should integrate metabarcoding as a rapid and accurate tool for the evaluation of the quality of marine benthic ecosystems.",2015,10.1038/srep13932
KROL_2019_HOW,How Does eDNA Compare to Traditional Trapping? Detecting Mosquito Communities in South-African Freshwater Ponds,"Krol, Louie; Van der Hoorn, Berry; Gorsich, Erin E.; Trimbos, Krijn; van Bodegom, Peter M.; Schrama, Maarten",FRONTIERS IN ECOLOGY AND EVOLUTION,"Improved biomonitoring of mosquitoes requires an in-depth understanding on occurrences of both vector and non-vector species, in larval, and adult stages. Accurate descriptions of the ecological context in which mosquitoes thrive remain limited, particularly for larval stages. The aim of this study was to develop amixed-amplicon eDNA approach to assess (i) whether mosquito larval communities of stagnant fresh-water bodies can be detected using a Culicidae-specific primer and (ii) how these results compare to traditional trapping of adult mosquitoes. Results from 32 ponds inside and outside Kruger National Park, South Africa show that our primer detected mosquito eDNA. However, it yielded only a subset of the species found using adult trapping methods. Particularly the less frequent and container-breeding species were not found. Our approach provides the first steps toward an eDNA-based method to assess the entire community of larval-stage mosquitoes. It may thereby overcome current taxonomic hurdles presented by morphological identification of larvae. As such, it holds great promise for biomonitoring and ecological studies of mosquitoes.",2019,10.3389/fevo.2019.00260
BEENTJES_2019_INC,Increased performance of DNA metabarcoding of macroinvertebrates by taxonomic sorting,"Beentjes, Kevin K.; Speksnijder, Arjen G. C. L.; Schilthuizen, Menno; Hoogeveen, Marten; Pastoor, Rob; van der Hoorn, Berry B.",PLOS ONE,"DNA-based identification through the use of metabarcoding has been proposed as the next step in the monitoring of biological communities, such as those assessed under the Water Framework Directive (WFD). Advances have been made in the field of metabarcoding, but challenges remain when using complex samples. Uneven biomass distributions, preferential amplification and reference database deficiencies can all lead to discrepancies between morphological and DNA-based taxa lists. The effects of different taxonomic groups on these issues remain understudied. By metabarcoding WFD monitoring samples, we analyzed six different taxonomic groups of freshwater organisms, both separately and combined. Identifications based on metabarcoding data were compared directly to morphological assessments performed under the WFD. The diversity of taxa for both morphological and DNA-based assessments was similar, although large differences were observed in some samples. The overlap between the two taxon lists was 56.8% on average across all taxa, and was highest for Crustacea, Heteroptera, and Coleoptera, and lowest for Annelida and Mollusca. Taxonomic sorting in six basic groups before DNA extraction and amplification improved taxon recovery by 46.5%. The impact on ecological quality ratio (EQR) scoring was considerable when replacing morphology with DNA-based identifications, but there was a high correlation when only replacing a single taxonomic group with molecular data. Different taxonomic groups provide their own challenges and benefits. Some groups might benefit from a more consistent and robust method of identification. Others present difficulties in molecular processing, due to uneven biomass distributions, large genetic diversity or shortcomings of the reference database. Sorting samples into basic taxonomic groups that require little taxonomic knowledge greatly improves the recovery of taxa with metabarcoding. Current standards for EQR monitoring may not be easily replaced completely with molecular strategies, but the effectiveness of molecular methods opens up the way for a paradigm shift in biomonitoring.",2019,10.1371/journal.pone.0226527
CLOSEK_2019_MAR,Marine Vertebrate Biodiversity and Distribution Within the Central California Current Using Environmental DNA (eDNA) Metabarcoding and Ecosystem Surveys,"Closek, Collin J.; Santora, Jarrod A.; Starks, Hilary A.; Schroeder, Isaac D.; Andruszkiewicz, Elizabeth A.; Sakuma, Keith M.; Bograd, Steven J.; Hazenv, Elliott L.; Field, John C.; Boehm, Alexandria B.",FRONTIERS IN MARINE SCIENCE,"Environmental DNA (eDNA) metabarcoding is a new approach for assessing marine biodiversity that may overcome challenges of traditional monitoring and complement both existing surveys and biodiversity assessments. There are limited eDNA studies that evaluate vertebrate biodiversity in the marine environment or compare patterns of biodiversity with traditional methods. This study uses eDNA metabarcoding of the mitochondrial 12S rRNA genes present in seawater samples to characterize vertebrate biodiversity and distribution within National Marine Sanctuaries located in the California Current upwelling ecosystem. The epipelagic community in the study region has been monitored using traditional (mid-water trawl and marine mammal) survey methods since 1983. During 2016 and 2017, we concurrently sampled the epipelagic community using traditional survey methods and water for eDNA analysis to assess agreement among the methods. We collected replicate eDNA samples from 25 stations at depths of 10, 40, and 80 m, resulting in 131 small volume (1 L) environmental water samples to examine eDNA sequences. Across the eDNA and traditional survey methods, 80 taxa were identified. Taxa identified by eDNA partially overlapped with taxa through trawl and marine mammal surveys, but more taxa were identified by eDNA. Diversity and distribution patterns of marine vertebrates inferred from eDNA sequences reflected known spatial distribution patterns in species occurrence and community structure (e.g., cross-shelf and alongshore patterns). During both years, we identified fishery taxa Sebastes (rockfish), Merluccius (hake), Citharichthys (sanddab), and Engraulis (anchovy) across the majority of the stations using eDNA metabarcoding. The marine vertebrate assemblage identified by eDNA in 2016 was statistically different from the 2017 assemblage and more marine mammals were identified in 2017 than in 2016. Differences in assemblages identified by eDNA were coincident with different oceanographic conditions (e.g., upwelling and stratification). In 2016, weak upwelling and warmer than average conditions were measured, and vertebrate assemblages were not different among ecological regions [Point Reyes, Pescadero, and Monterey Bay]. While in 2017, average upwelling conditions returned, vertebrate assemblages differed at each region. This study illustrates that eDNA provides a new baseline for vertebrate assessments that can both augment traditional biomonitoring surveys and aid our understanding of changes in biodiversity.",2019,10.3389/fmars.2019.00732
COWART_2015_MET,Metabarcoding Is Powerful yet Still Blind: A Comparative Analysis of Morphological and Molecular Surveys of Seagrass Communities,"Cowart, Dominique A.; Pinheiro, Miguel; Mouchel, Olivier; Maguer, Marion; Grall, Jacques; Mine, Jacques; Arnaud-Haond, Sophie",PLOS ONE,"In the context of the sixth wave of extinction, reliable surveys of biodiversity are increasingly needed to infer the cause and consequences of species and community declines, identify early warning indicators of tipping points, and provide reliable impact assessments before engaging in activities with potential environmental hazards. DNA metabarcoding has emerged as having potential to provide speedy assessment of community structure from environmental samples. Here we tested the reliability of metabarcoding by comparing morphological and molecular inventories of invertebrate communities associated with sea-grasses through estimates of alpha and beta diversity, as well as the identification of the most abundant taxa. Sediment samples were collected from six Zostera marina seagrass meadows across Brittany, France. Metabarcoding surveys were performed using both mitochondrial (Cytochrome Oxidase I) and nuclear (small subunit 18S ribosomal RNA) markers, and compared to morphological inventories compiled by a long-term benthic monitoring network. A sampling strategy was defined to enhance performance and accuracy of results by preventing the dominance of larger animals, boosting statistical support through replicates, and using two genes to compensate for taxonomic biases. Molecular barcodes proved powerful by revealing a remarkable level of diversity that vastly exceeded the morphological survey, while both surveys identified congruent differentiation of the meadows. However, despite the addition of individual barcodes of common species into taxonomic reference databases, the retrieval of only 36% of these species suggest that the remaining were either not present in the molecular samples or not detected by the molecular screening. This finding exemplifies the necessity of comprehensive and well-curated taxonomic reference libraries and multi-gene surveys. Overall, results offer methodological guidelines and support for metabarcoding as a powerful and repeatable method of characterizing communities, while also presenting suggestions for improvement, including implementation of pilotstudies prior to performing full “blind” metabarcoding assessments to optimize sampling and amplification protocols.",2015,10.1371/journal.pone.0117562
LAROCHE_2017_MET,Metabarcoding monitoring analysis: the pros and cons of using co-extracted environmental DNA and RNA data to assess offshore oil production impacts on benthic communities,"Laroche, Olivier; Wood, Susanna A.; Tremblay, Louis A.; Lear, Gavin; Ellis, Joanne I.; Pochon, Xavier",PEERJ,"Sequencing environmental DNA (eDNA) is increasingly being used as an alternative to traditional morphological-based identification to characterize biological assemblages and monitor anthropogenic impacts in marine environments. Most studies only assess eDNA which, compared to eRNA, can persist longer in the environment after cell death. Therefore, eRNA may provide a more immediate census of the environment due to its relatively weaker stability, leading some researchers to advocate for the use of eRNA as an additional, or perhaps superior proxy for portraying ecological changes. A variety of pre-treatment techniques for screening eDNA and eRNA derived operational taxonomic units (OTUs) have been employed prior to statistical analyses, including removing singleton taxa (i.e., OTUs found only once) and discarding those not present in both eDNA and eRNA datasets. In this study, we used bacterial (16S ribosomal RNA gene) and eukaryotic (18S ribosomal RNA gene) eDNA- and eRNA-derived data from benthic communities collected at increasing distances along a transect from an oil production platform (Taranaki, New Zealand). Macro-infauna (visual classification of benthic invertebrates) and physico-chemical data were analyzed in parallel. We tested the effect of removing singleton taxa, and removing taxa not present in the eDNA and eRNA libraries from the same environmental sample (trimmed by shared OTUs), by comparing the impact of the oil production platform on alpha- and beta-diversity of the eDNA/eRNA-based biological assemblages, and by correlating these to the morphologically identified macro-faunal communities and the physico-chemical data. When trimmed by singletons, presence/absence information from eRNA data represented the best proxy to detect changes on species diversity for both bacteria and eukaryotes. However, assessment of quantitative beta-diversity from read abundance information of bacteria eRNA did not, contrary to eDNA, reveal any impact from the oil production activity. Overall, the data appeared more robust when trimmed by shared OTUs, showing a greater effect of the platform on alpha-and beta-diversity. Trimming by shared OTUs likely removes taxa derived from legacy DNA and technical artefacts introduced through reverse transcriptase, polymerase-chain-reaction and sequencing. Findings from our scoping study suggest that metabarcoding-based biomonitoring surveys should, if funds, time and expertise allow, be assessed using both eDNA and eRNA products.",2017,10.7717/peerj.3347
AZEVEDO_2020_MON,Monitoring of biofouling communities in a Portuguese port using a combined morphological and metabarcoding approach,"Azevedo, Joana; Antunes, Jorge T.; Machado, Andre M.; Vasconcelos, Vitor; Leao, Pedro N.; Froufe, Elsa",SCIENTIFIC REPORTS,"Marine biofouling remains an unsolved problem with a serious economic impact on several marine associated industries and constitutes a major vector for the spread of non-indigenous species (NIS). The implementation of biofouling monitoring programs allows for better fouling management and also for the early identification of NIS. However, few monitoring studies have used recent methods, such as metabarcoding, that can significantly enhance the detection of those species. Here, we employed monthly monitoring of biofouling growth on stainless steel plates in the Atlantic Port of Leixoes (Northern Portugal), over one year to test the effect of commercial anti-corrosion paint in the communities. Fouling organisms were identified by combining morpho-taxonomy identification with community DNA metabarcoding using multiple markers (16S rRNA, 18S rRNA, 23S rRNA, and COI genes). The dominant colonizers found at this location were hard foulers, namely barnacles and mussels, while other groups of organisms such as cnidarians, bryozoans, and ascidians were also abundant. Regarding the temporal dynamics of the fouling communities, there was a progressive increase in the colonization of cyanobacteria, green algae, and red algae during the sampled period with the replacement of less abundant groups. The tested anticorrosion paint demonstrated to have a significant prevention effect against the biofouling community resulting in a biomass reduction. Our study also reports, for the first time, 29 NIS in this port, substantiating the need for the implementation of recurring biofouling monitoring programs in ports and harbours.",2020,10.1038/s41598-020-70307-4
OPRESKO_2020_MOR,"Morphological and molecular characterization of a new species of black coral from Elvers Bank, north-western Gulf of Mexico (Cnidaria: Anthozoa: Hexacorallia: Antipatharia: Aphanipathidae: Distichopathes)","Opresko, Dennis M.; Goldman, Samantha L.; Johnson, Raven; Parra, Katherine; Nuttall, Marissa; Schmahl, G. P.; Brugler, Mercer R.",JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,"The continental shelf edge of the NW Gulf of Mexico supports dozens of reefs and banks, including the West and East Flower Garden Banks (FGB) and Stetson Bank that comprise the Flower Garden Banks National Marine Sanctuary (FGBNMS). Discovered by fishermen in the early 1900s, the FGBs are named after the colourful corals, sponges and algae that dominate the region. The reefs and banks are the surface expression of underlying salt domes and provide important habitat for mesophotic coral ecosystems (MCE) and deep coral communities to 300 m depth. Since 2001, FGBNMS research teams have utilized remotely operated vehicles (e.g. `Phantom S2', `Mohawk', `Yogi') to survey and characterize benthic habitats of this region. In 2016, a Draft Environmental Impact Statement proposed the expansion of the current sanctuary boundaries to incorporate an additional 15 reefs and banks, including Elvers Bank. Antipatharians (black corals) were collected within the proposed expansion sites and analysed using morphological and molecular methods. A new species,Distichopathes hickersonae, collected at 172 m depth on Elvers Bank, is described within the family Aphanipathidae. This brings the total number of black coral species in and around the sanctuary to 14.",2020,10.1017/S002531542000051X
ALSOS_2018_PLA,Plant DNA metabarcoding of lake sediments: How does it represent the contemporary vegetation,"Alsos, Inger Greve; Lammers, Youri; Yoccoz, Nigel Giles; Jorgensen, Tina; Sjogren, Per; Gielly, Ludovic; Edwards, Mary E.",PLOS ONE,"Metabarcoding of lake sediments have been shown to reveal current and past biodiversity, but little is known about the degree to which taxa growing in the vegetation are represented in environmental DNA (eDNA) records. We analysed composition of lake and catchment vegetation and vascular plant eDNA at 11 lakes in northern Norway. Out of 489 records of taxa growing within 2 m from the lake shore, 170-49% (mean 31%) of the identifiable taxa recorded were detected with eDNA. Of the 217 eDNA records of 47 plant taxa in the 11 lakes, 73% and 12% matched taxa recorded in vegetation surveys within 2 m and up to about 50 m away from the lakeshore, respectively, whereas 16% were not recorded in the vegetation surveys of the same lake. The latter include taxa likely overlooked in the vegetation surveys or growing outside the survey area. The percentages detected were 61, 47, 25, and 15 for dominant, common, scattered, and rare taxa, respectively. Similar numbers for aquatic plants were 88, 88, 33 and 62%, respectively. Detection rate and taxonomic resolution varied among plant families and functional groups with good detection of e.g. Ericaceae, Roseaceae, deciduous trees, ferns, club mosses and aquatics. The representation of terrestrial taxa in eDNA depends on both their distance from the sampling site and their abundance and is sufficient for recording vegetation types. For aquatic vegetation, eDNA may be comparable with, or even superior to, in-lake vegetation surveys and may therefore be used as an tool for biomonitoring. For reconstruction of terrestrial vegetation, technical improvements and more intensive sampling is needed to detect a higher proportion of rare taxa although DNA of some taxa may never reach the lake sediments due to taphonomical constrains. Nevertheless, eDNA performs similar to conventional methods of pollen and macrofossil analyses and may therefore be an important tool for reconstruction of past vegetation.",2018,10.1371/journal.pone.0195403
JIA_2020_SEA,Seasonal Variation and Assessment of Fish Resources in the Yangtze Estuary Based on Environmental DNA,"Jia, Hui; Wang, Yibang; Yoshizawa, Susumu; Iwasaki, Wataru; Li, Yuquan; Xian, Weiwei; Zhang, Hui",WATER,"In the past few years, environmental DNA (eDNA) techniques have been used to monitor marine communities. Research indicates that eDNA is an effective tool for monitoring fishery resources. This study analyzed the seasonal variations in fish resources in the Yangtze Estuary, China, using eDNA. A total of 103 water samples were collected from the Yangtze Estuary across the four seasons in 2019-20 samples in February, 28 in May, 28 in August and 27 in November. Our research successfully detected the fishery resources of the Yangtze Estuary. We found significant differences according to the season. The results showed that 59 species were identified in 2019 (20 in February, 16 in May, 5 in August and 45 in November) and fish species varied widely over the four seasons. Furthermore, our samples revealed significant differences in annual fish stocks in the Yangtze Estuary, compared with eDNA data from 2018 and with traditional surveys from past years. Overall, eDNA is a useful emerging tool to assist with monitoring and protecting fish resources for the Yangtze Estuary.",2020,10.3390/w12102874
MAECHLER_2014_UTI,Utility of environmental DNA for monitoring rare and indicator macroinvertebrate species,"Maechler, Elvira; Deiner, Kristy; Steinmann, Patrick; Altermatt, Florian",FRESHWATER SCIENCE,"Accurate knowledge of the distribution of rare, indicator, or invasive species is required for conservation and management decisions. However, species monitoring done with conventional methods may have limitations, such as being laborious in terms of cost and time, and often requires invasive sampling of specimens. Environmental DNA (eDNA) has been identified as a molecular tool that could overcome these limitations, particularly in aquatic systems. Detection of rare and invasive amphibians and fish in lake and river systems has been effective, but few studies have targeted macroinvertebrates in aquatic systems. We expanded eDNA techniques to a broad taxonomic array of macroinvertebrate species in river and lake systems. We were able to detect 5 of 6 species (Ancylus fluviatilis, Asellus aquaticus, Baetis buceratus, Crangonyx pseudogracilis, and Gammarus pulex) with an eDNA method in parallel to the conventional kicknet-sampling method commonly applied in aquatic habitats. Our eDNA method showed medium to very high consistency with the data from kicknet-sampling and was able to detect both indicator and nonnative macroinvertebrates. Furthermore, our primers detected target DNA in concentrations down to 10(-5) ng/mu L of total extracted tissue DNA in the absence of background eDNA in the reaction. We demonstrate that an eDNA surveillance method based on standard PCR can deliver biomonitoring data across a wide taxonomic range of macroinvertebrate species (Gastropoda, Isopoda, Ephemeroptera, and Amphipoda) in riverine habitats and may offer the possibility to deliver data on a more refined time scale than conventional methods when focusing on single or few target species. Such information based on nondestructive sampling may allow rapid management decisions and actions.",2014,10.1086/678128
